Latitude,Longitude,Location.1,launches
-2.7955996,-43.74289708, Alc?›ntara Launch Center Maranh?œo Brazil,3
-2.995724,40.194884, San Marco Launch Platform Kenya,9
-30.5343665,135.6301212, RAAF Woomera Range Complex Australia,6
-39.261508,177.864944, M?hia Peninsula New Zealand,13
13.72376835,80.16460302, Satish Dhawan Space Centre India,76
22.02595125,-159.784759, Kauai Pacific Missile Range Facility,1
26.172826,-98.1626132, West Texas Texas USA,12
27.947703,-15.384258, Base Aerea de Gando Gran Canaria,2
28.24576155,102.027938, Xichang Satellite Launch Center China,102
28.24576155,102.027938,"Xichang Satellite Launch Center, China",1
28.488798,-80.572293, Cape Canaveral AFS Florida USA,658
28.5225289,-80.68036706, Kennedy Space Center Florida USA,176
30.4034117,130.9712615, Tanegashima Space Center Japan,85
30.9,-3.033333, Hammaguir Algeria France,4
31.25411165,131.0787961, Uchinoura Space Center Japan,34
31.25411165,131.0787961,"Uchinoura Space Center, Japan",7
31.884586,34.680158, Palmachim Airbase Israel,11
31.884586,34.680158, Wenchang Satellite Launch Center China,8
32.2177481,-96.0370436, Boca Chica Texas USA,1
32.9897111,-106.9720147, Spaceport America New Mexico,4
34.1140701,-119.1179302, Naval Air Station Point Mugu California USA,6
34.43813115,127.5255002, Naro Space Center South Korea,3
34.73835455,-120.5826246, Vandenberg AFB California USA,442
34.900814,-117.9439533, Edwards AFB California USA,5
35.22153355,53.89705678, Semnan Space Center Iran,13
36.7014631,-118.7559974, Mojave Air and Space Port California USA,1
37.8556147,-75.49639969, Wallops Flight Facility Virginia USA,31
38.84978335,111.6053224, Taiyuan Satellite Launch Center China,46
38.84978335,111.6053224,"Taiyuan Satellite Launch Center, China",7
39.6663877,124.6979243, Sohae Satellite Launching Station North Korea,3
40.8559648,129.6655153, Tonghae Satellite Launching Ground North Korea,2
40.964989,100.2838215, Jiuquan Satellite Launch Center China,103
40.964989,100.2838215,"Jiuquan Satellite Launch Center, China",1
45.9178932,63.40837214, Baikonur Cosmodrome Kazakhstan,701
48.575634,45.766895, Kapustin Yar Russia,112
5.21237515,-52.77388327, Guiana Space Centre French Guiana France,299
51.88133785,128.3308688, Vostochny Cosmodrome Russia,5
52.0269262,54.7276647, Yasny Cosmodrome Russia,10
57.4429518,-152.3652888, Pacific Spaceport Complex Alaska USA,3
6.9518742,170.9985095, Ronald Reagan Ballistic Missile Defense Test Site Marshall Islands USA,9
62.927843,40.574814, Plesetsk Cosmodrome Russia,1263
69.5,34.2, Barents Sea Launch Area Barents Sea,3
